Artista	Cancion	Album	A�o	Song ID	Band ID	Album ID
Intoxicados	Pila Pila	El Exilio de las Especies (Thend)	2008	8CD48B7478B27A8	8CD48B69585718A	8CD48B69C780BCE
Estelares	aire	Sistema Nervioso Central	2006	8CD95C96F8BAC74	8CD95C93A5C0946	8CD95C95D3A661E
Massacre	La reina de marte	El Mamut	2007	8CD95C98176C67B	8CD95C9489CA151	8CD95C965D0179B
El Otro Yo	Locomotora	Fuera Del Tiempo	2007	8CDA0A4B1CF5586	8CDA0A1DDF54308	8CDA0A45518C3B8
Kapanga	Bisabuelo	Botanika	2002	8CDBC42155FAA84	8CDBC41E81C85EC	8CDBC41EBE480A8
Kapanga	Fumar	Botanika	2002	8CDC34E4BACDE96	8CDBC41E81C85EC	8CDBC41EBE480A8
Las Pelotas	Bombachitas Rosas (Vivo)	Vivo	2011	8CDCC0A173DEBC2	8CDCC09F777143A	8CDCC09FEEA6D7A
Las Pelotas	Ser� (Vivo)	Vivo	2011	8CDCC0A2F8CA556	8CDCC09F777143A	8CDCC09FEEA6D7A
Ratones Paranoicos	Sigue Girando	Girando	2004	8CDCCC8C8E87AF4	8CCE72136911694	8CDCCC8BFBE7104
Intoxicados	Casi Sin Pensar	El Exilio de las Especies (Thend)	2008	8CDCCCD03E58666	8CD48B69585718A	8CD48B69C780BCE
Guasones	Reyes de la Noche	Toro Rojo	2005	8CDD6DCFE601C6E	8CDD6DC3AB45E1A	8CDD6DCF44C6C0A
Mancha de Rolando	Arde la Ciudad	Viaje	2004	8CDD6DEFECC65C0	8CE1A8C693B04BD	8CE1A8C8B2073CE
Los Cafres	Si el Amor se Cae	Qui�n da M�s	2004	8CDD6ED7C845AF0	8CDD6DF405D10C0	8CDD6ED5A3E8D30
Los Pericos	Lindo D�a	Pura Vida	2008	8CDD6EF6F791BE6	8CDD6EF27BBB9D0	8CDD6EF6412DD96
Turf	Pasos Al Costado	Para M�, Para Vos	2004	8CDD6F088AAD4A0	8CDD6F05939C9C4	8CDD6F05F49E4A2
Los Autenticos Decadentes	Un Osito de Peluche de Taiw�n	Sigue Tu Camino	2003	8CDD6F1907E0BB0	8CDCC0E7712CDFC	8CDD6F0E2E4D290
Los Autenticos Decadentes	Sigue tu Camino	Sigue Tu Camino	2003	8CDDC8FE016675B	8CDCC0E7712CDFC	8CDD6F0E2E4D290
Rata Blanca	La Leyenda del Hada y el Mago	XX Aniversario - Magos, Espadas y Rosas	2011	8CDE834968849F4	8CDE8310FB32166	8CDE834639E08CB
No Te Va Gustar	Cero a La Izquierda	Por lo Menos Hoy	2010	8CE0490F438236F	8CDFF1F17EDB389	8CE0490BF81053D
No Te Va Gustar	Chau	Por lo Menos Hoy	2010	8CE04945F9BC04B	8CDFF1F17EDB389	8CE0490BF81053D
Arbol	Soy Vos	Hormigas	2007	8CE0DD7FB581131	8CE0DD7DD4A322D	8CE0DD7E45E5BF7
Ella es tan Cargosa	Ni siquiera entre tus brazos	Ella es tan cargosa	2007	8CE0ED4DE9297DB	8CE0ED134FDDAF8	8CE0ED143F2508E
Los Tipitos	Campanas en la noche	Armando Camaleon	2004	8CE10377F16005B	8CE10374A7A0077	8CE1037563ACCFC
Massacre	Tanto Amor	Ringo	2011	8CE2C827256AFB3	8CD95C9489CA151	8CE2C8260DE89BD
Rata Blanca	El Reino Olvidado	El Reino Olvidado	2008	8CE3F8917CBAB8B	8CDE8310FB32166	8CE3F88FDD18EF8
Los Cafres	Casi q' me pierdo	El paso gigante	2011	8CE4A8315DFA2C3	8CDD6DF405D10C0	8CE4A824D46CAA3
Viejas Locas	Roca & giro	Contra la pared	2011	8CE687319F49157	8CE6872FE67F497	8CE68730D8D0FA7
Oconnor	Yo Can�bal	Un Poco de Respeto	2012	8CEFBFAA71A3518	8CEFBFA6FD09CC8	8CEFBFA72916A78
